Año,Trimestre,Provincia,Accesos telefonía fija (total)
2022,1,Buenos Aires,3340707
2022,1,Capital Federal,1508031
2022,1,Catamarca,30167
2022,1,Chaco,84847
2022,1,Chubut,72602
2022,1,Córdoba,579744
2022,1,Corrientes,88953
2022,1,Entre Ríos,189649
2022,1,Formosa,33824
2022,1,Jujuy,48709
2022,1,La Pampa,72052
2022,1,La Rioja,27504
2022,1,Mendoza,196157
2022,1,Misiones,91333
2022,1,Neuquén,74114
2022,1,Río Negro,83067
2022,1,Salta,109105
2022,1,San Juan,74775
2022,1,San Luis,34398
2022,1,Santa Cruz,26956
2022,1,Santa Fe,629111
2022,1,Santiago del Estero,67522
2022,1,Tierra del Fuego,21573
2022,1,Tucumán,185032
2021,4,Buenos Aires,3313370
2021,4,Capital Federal,1439097
2021,4,Catamarca,29635
2021,4,Chaco,90829
2021,4,Chubut,68209
2021,4,Córdoba,583715
2021,4,Corrientes,97971
2021,4,Entre Ríos,207536
2021,4,Formosa,36411
2021,4,Jujuy,44258
2021,4,La Pampa,71751
2021,4,La Rioja,26765
2021,4,Mendoza,204522
2021,4,Misiones,98622
2021,4,Neuquén,72616
2021,4,Río Negro,86287
2021,4,Salta,120291
2021,4,San Juan,66631
2021,4,San Luis,33020
2021,4,Santa Cruz,27740
2021,4,Santa Fe,655796
2021,4,Santiago del Estero,66649
2021,4,Tierra del Fuego,18937
2021,4,Tucumán,165702
2021,3,Buenos Aires,3164518
2021,3,Capital Federal,1367485
2021,3,Catamarca,24683
2021,3,Chaco,73770
2021,3,Chubut,73086
2021,3,Córdoba,484017
2021,3,Corrientes,78053
2021,3,Entre Ríos,164023
2021,3,Formosa,30471
2021,3,Jujuy,35160
2021,3,La Pampa,71728
2021,3,La Rioja,21614
2021,3,Mendoza,196028
2021,3,Misiones,78868
2021,3,Neuquén,74203
2021,3,Río Negro,83724
2021,3,Salta,93818
2021,3,San Juan,74837
2021,3,San Luis,34431
2021,3,Santa Cruz,26961
2021,3,Santa Fe,539814
2021,3,Santiago del Estero,57376
2021,3,Tierra del Fuego,21573
2021,3,Tucumán,133062
2021,2,Buenos Aires,3313370
2021,2,Capital Federal,1439097
2021,2,Catamarca,29635
2021,2,Chaco,90829
2021,2,Chubut,68209
2021,2,Córdoba,583715
2021,2,Corrientes,97971
2021,2,Entre Ríos,207536
2021,2,Formosa,36411
2021,2,Jujuy,44258
2021,2,La Pampa,71751
2021,2,La Rioja,26765
2021,2,Mendoza,204522
2021,2,Misiones,98622
2021,2,Neuquén,72616
2021,2,Río Negro,86287
2021,2,Salta,120291
2021,2,San Juan,66631
2021,2,San Luis,33020
2021,2,Santa Cruz,27740
2021,2,Santa Fe,655796
2021,2,Santiago del Estero,66649
2021,2,Tierra del Fuego,18937
2021,2,Tucumán,165702
2021,1,Buenos Aires,3203761
2021,1,Capital Federal,1395627
2021,1,Catamarca,26597
2021,1,Chaco,75834
2021,1,Chubut,73068
2021,1,Córdoba,523748
2021,1,Corrientes,78850
2021,1,Entre Ríos,168446
2021,1,Formosa,31265
2021,1,Jujuy,42953
2021,1,La Pampa,71152
2021,1,La Rioja,24254
2021,1,Mendoza,196315
2021,1,Misiones,82076
2021,1,Neuquén,74404
